sessionID,DNI,Telef,CP,duration_call_mins,Producto,Adosado,Bajo,Chalet,Con Perro,Con Rejas,Intermedio,Piso,Sin Perro,Sin Rejas,Unifamiliar,municipio_renta,municipio_norm,periodo_renta,renta_media,anio,tipo_delito,tasa
MC40MDA1NDM0MzY5MzYyODE4,X88537286,671483480,28520,13.481687819442088,Home Premium Plus,0,0,1,0,0,0,0,0,1,1,,,,,,,
MC40MDA2OTkxNDAyNzA5Nzcz,X67868023,669613626,28758,7.066442941867196,,1,0,1,0,1,0,0,0,0,0,,,,,,,
MC40MDA5Mzc0NTc5MzM5OTAxNg==,X22379422,688974839,28001,14.197395058939826,Home Premium,0,1,0,1,1,0,1,0,0,0,"28001 Acebeda, La","28001 ACEBEDA, LA",2020.0,,,,
MC40MDA5MzgwNDg5NzU2ODM2NA==,X95888915,604709311,28678,6.940735121381512,,0,1,0,0,1,0,1,1,0,0,,,,,,,
MC40MDA5NjA1MDcwNjY2MzQ1NQ==,X76422588,610413816,28881,5.674005907443439,,0,1,0,0,0,0,1,1,1,0,,,,,,,
MC40MDAwMjU3NjYxMTg3OTIwNA==,X51146816,625162810,28406,5.982568004845459,,1,0,1,0,0,0,0,0,1,0,,,,,,,
MC40MDAwODQ0NzM2NTMxODg1NQ==,X30734000,620798587,28021,4.028014813278163,,1,0,1,0,1,0,0,0,0,0,"28021 Berrueco, El","28021 BERRUECO, EL",2020.0,35588.0,,,
MC40MDAwODk4MTc4MzY4MTgy,X80849326,675664504,28885,5.063663789228493,,0,1,0,0,1,0,1,1,0,0,,,,,,,
MC40MDAxNDA4MzgzNjIxMTQx,X50330858,645041502,28593,0.1945999855993649,,1,0,1,0,0,0,0,0,1,0,,,,,,,
MC40MDAyMzg0NDE0OTU4Njg4NQ==,X20308022,682718574,28400,5.644397621441229,,0,1,0,0,1,0,1,1,0,0,,,,,,,
MC40MDAyNTY2ODkwMzc3MTQz,X52574347,698594492,28198,18.08257599104581,Home Basic,0,0,1,0,0,0,0,0,1,1,,,,,,,
MC40MDE0NTM2NjIzMzA3NjQz,X51305949,668748646,28323,1.4970931723024354,,0,1,0,1,0,0,1,0,1,0,,,,,,,
MC40MDE1MTg5NzUwMjI5MjU5,X02348497,621196234,28991,7.324802396149861,,0,1,0,1,1,0,1,0,0,0,,,,,,,
MC40MDE4ODEwNTAzMTM4MTM1,X91129453,659895170,28532,12.329992373001293,,0,0,1,0,1,0,0,0,0,1,,,,,,,
MC40MDE5MzM2MTY0OTE3OTg0,X60121739,674469110,28923,5.681442101360277,,0,0,1,0,0,0,0,0,1,1,,,,,,,
MC40MDExNzM1ODk3NDIwNDU0,X76349296,619969252,28191,5.954976324457203,,0,1,0,1,0,0,1,0,1,0,,,,,,,
MC40MDEzNTAzNDc2MDQ0NzQ4Ng==,X87719801,695838677,28114,10.635402894871682,,1,0,1,0,1,0,0,0,0,0,28114 PiÃ±uÃ©car-Gandullas,28114 PIA±UA©CAR-GANDULLAS,2020.0,31325.0,,,
MC40MDI0MDg4MDM2Nzc0MTI3,X97196483,609348444,28951,4.206986020768736,,0,0,1,0,0,0,0,0,1,1,,,,,,,
MC40MDI1MDIzOTI4NjQ1NTYxNA==,X27956439,633451563,28756,15.689240691336586,Home Premium,0,1,0,0,1,0,1,1,0,0,,,,,,,
MC40MDI1NTgxNDE5NTQ0NTkyNw==,X57934029,659359565,28095,5.502797638189137,,0,1,0,1,0,0,1,0,1,0,28095 Navalagamella,28095 NAVALAGAMELLA,2020.0,34433.0,,,
MC40MDI3MTcxMTA5NzkwNTQ3,X88085539,691530469,28579,8.494826342909729,,0,1,0,1,1,0,1,0,0,0,,,,,,,
MC40MDI3OTU3NDU1NDc3NDA0NQ==,X35993674,655296205,28948,7.530508802792207,,1,0,1,0,1,0,0,0,0,0,,,,,,,
MC40MDI4MTU4NTA0ODI4NjgwNQ==,X26672068,663840758,28011,6.505192159141359,,0,0,0,1,0,1,1,0,0,0,28011 Ambite,28011 AMBITE,2020.0,27872.0,,,
MC40MDI4NDM5MDA0NTgwODk1,X81896498,659295568,28554,2.435215826364954,,0,0,1,0,1,0,0,0,0,1,,,,,,,
MC40MDI4NDk0NDM2NDE1MjA3NQ==,X07242031,614781944,28267,0.8451091284404715,,1,0,1,0,1,0,0,0,0,0,,,,,,,
MC40MDIwMTkxMTQwNDQ5Mjc1,X84384073,610706856,28092,6.185554276987858,Home Basic,0,0,0,1,0,1,1,0,0,0,28092 MÃ³stoles,28092 MA3STOLES,2020.0,39993.0,,,
MC40MDIyNTEyNTQyNzAyNTA2Ng==,X31353534,685083783,28549,4.967627261401462,,1,0,1,0,0,0,0,0,1,0,,,,,,,
MC40MDIyNTU5Mjk1NDk2MjU2Mw==,X87339161,668882209,28640,16.9601823272703,Home Premium,0,1,0,1,1,0,1,0,0,0,,,,,,,
MC40MDIyNTk1NjEyMTA3NTQzNQ==,X75381738,657566957,28399,8.228804227369668,,0,1,0,0,1,0,1,1,0,0,,,,,,,
MC40MDIzNjEwMjg3NDE2NDI3,X87618334,652014199,28520,16.177404023378333,Home Basic,0,0,0,1,0,1,1,0,0,0,,,,,,,
MC40MDIzNjI3ODMyMzA0MTI5Nw==,X61164682,617245792,28213,9.89528125128163,,0,1,0,0,1,0,1,1,0,0,,,,,,,
MC40MDM2MDc3MzYyNTQ3MDk4,X92420275,657508562,28071,13.457531041938362,Home Premium,0,1,0,0,0,0,1,1,1,0,28071 Horcajuelo de la Sierra,28071 HORCAJUELO DE LA SIERRA,2020.0,37437.0,,,
MC40MDM2MDg4MzMxNTg3NDYy,X50622055,625585406,28314,4.983699502097481,,1,0,1,0,0,0,0,0,1,0,,,,,,,
MC40MDM2OTQzMDUwMTM2MjQ3,X05372438,673983417,28160,9.955954324945791,,0,1,0,1,0,0,1,0,1,0,28160 Valdemorillo,28160 VALDEMORILLO,2020.0,52914.0,,,
MC40MDM3NTkzODc3NzY3OTcx,X52231648,606127754,28700,10.323032202387202,Home Premium,0,1,0,0,1,0,1,1,0,0,,,,,,,
MC40MDM3OTQ4ODc2MTc2NTc3,X93026658,618733616,28095,7.745900953094983,,0,0,1,0,1,0,0,0,0,1,28095 Navalagamella,28095 NAVALAGAMELLA,2020.0,34433.0,,,
MC40MDM4NTk5OTQxMzE5MTc0,X51926612,638478958,28071,9.994553801004235,,0,1,0,1,1,0,1,0,0,0,28071 Horcajuelo de la Sierra,28071 HORCAJUELO DE LA SIERRA,2020.0,37437.0,,,
MC40MDM4ODYyMTM0NDY3ODEy,X26393017,674446024,28370,2.9493536964723512,,0,1,0,0,1,0,1,1,0,0,,,,,,,
MC40MDMyMTgxMzU3NjU5OTE2NA==,X88302380,656142791,28973,4.254158676689874,,1,0,1,0,1,0,0,0,0,0,,,,,,,
MC40MDMyOTgwMzI2NjIzMDI=,X16457841,621470417,28032,6.459545835125091,,0,0,1,0,0,0,0,0,1,1,28032 Camarma de Esteruelas,28032 CAMARMA DE ESTERUELAS,2020.0,54050.0,,,
MC40MDMzNTM3NDkyMzE2NjM=,X29362472,675977776,28132,3.463623661007457,,0,1,0,0,0,0,1,1,1,0,28132 San MartÃ­n de la Vega,28132 SAN MARTA­N DE LA VEGA,2020.0,37315.0,,,
MC40MDQ0OTg3NDgwODMzNTk2,X45089670,642882056,28243,5.957809432897783,,0,0,0,1,0,1,1,0,0,0,,,,,,,
MC40MDQ2ODY2MDcxNTk3NzA3,X26918501,600910052,28437,0.4196568499370317,,1,0,1,0,0,0,0,0,1,0,,,,,,,
MC40MDQ5NDE4MDc1NTIwMjY=,X00491040,653365637,28474,6.771358882152304,,1,0,1,0,1,0,0,0,0,0,,,,,,,
MC40MDQxMTI2NDc2Mjc0Njc=,X04695263,637022084,28225,6.088789118353746,,0,1,0,1,0,0,1,0,1,0,,,,,,,
MC40MDQzNDczMDI3NTAwMzQ4Mw==,X93778319,697411967,28763,18.329774045264475,Home Basic,0,0,0,0,0,1,1,1,0,0,,,,,,,
MC40MDQzOTI3NDg3NTAyNTcy,X69100887,629819330,28251,26.733749802268143,Home Basic,0,0,0,1,0,1,1,0,0,0,,,,,,,
MC40MDU0Mzk2NjYwNTA2OTIxNQ==,X64277489,673525184,28894,15.353329038386317,Home Premium,1,0,1,0,0,0,0,0,1,0,,,,,,,
MC40MDU2MTIzODYwNTc2MzgxNg==,X79790214,692233540,28438,9.804935004897864,,0,1,0,1,0,0,1,0,1,0,,,,,,,
